,Type,Size_or_Members,Shape,Data_type
/AwakeEventData/RPCAH.TSG4.RQID.430031/Acquisition,Group,1,,
/AwakeEventData/BTV.TT41.412426_MASK_H,Group,1,,
/AwakeEventData/BTV.TT41.412426_MASK_V,Group,1,,
/AwakeEventData/BOVWA.07TCC4.AWAKECAM07/ExtractionImage/imageRawData,Dataset,1920000,"(1200, 1600)",int16
/AwakeEventData/TT41.BTV.412353/Acquisition/filterSelect_max,Dataset,1,"(1,)",int32
/AwakeEventData/BOVWA.05TT41.CAM5/ExtractionImage/intensityAvg,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Acquisition/descSet1,Dataset,1,"(1,)",|S21
/AwakeEventData/TT41.BTV.412353/Image/cameraOffset_min,Dataset,1,"(1,)",int16
/AwakeEventData/SR.AWINTLK/PhaseAcq,Group,1,,
/AwakeEventData/TT43.BPM.430308/Acquisition/sigma,Dataset,12,"(12,)",int32
/AwakeEventData/SPS.BCTDC.51895/Acquisition/inCheckStatusData,Dataset,1120,"(1120,)",int16
/AwakeEventData/SR.SCOPE43.CH01/Acquisition/triggerError,Dataset,1,"(1,)",float32
/AwakeEventData/LSSE2/Acq,Group,1,,
/AwakeEventData/awake.XAWAVS_UF_TT_AVG/PosSt,Group,1,,
/AwakeEventData/TT41.BPM.412351/Acquisition,Group,9,,
/AwakeEventData/TT41.BTV.412353/Image/cameraOffset,Dataset,1,"(1,)",int16
/AwakeEventData/SR.SCOPE45.CH01/Acquisition/value_units,Dataset,1,"(1,)",|S1
/AwakeEventData/TT41.BTV.412350/Image/userImageSelectionNumber,Dataset,1,"(1,)",int16
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchLengthMinThr,Dataset,1,"(1,)",float32
/AwakeEventData/RPCAH.TSG4.RCIBH.430011,Group,1,,
/AwakeEventData/RADMON.AWAKE-1/Acquisition/cumNeutronFluence,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/acqMsg,Dataset,1,"(1,)",|S2
/AwakeEventData/TT41.AWAKE-eBLM-pico3/FileRead/dataValue4,Dataset,785,"(785,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/pixelCalSet1,Dataset,4,"(4,)",float64
/AwakeEventData/TT41.BTV.412350/Acquisition/pixelCalSet2,Dataset,4,"(4,)",float64
/AwakeEventData/TT41.BTV.412350/Image,Group,64,,
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,Dataset,1,"(1,)",float64
/AwakeEventData/TT41.BTV.412426/Image/cycleTime,Dataset,1,"(1,)",|S26
/AwakeEventData/SR.SCOPE27.CH01/Acquisition/offset,Dataset,1,"(1,)",float32
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,Dataset,1,"(1,)",|S2
/AwakeEventData/MPPAWAKE-STANDA-12.AXIS02/Movement,Group,3,,
/AwakeEventData/SR.SCOPE43.CH04/Acquisition/sampleInterval,Dataset,1,"(1,)",float32
/AwakeEventData/RPCAH.TSG4.RQIF.430205,Group,1,,
/AwakeEventData/TT41.BTV.412426/Image/filterSelect_min,Dataset,1,"(1,)",int32
/AwakeEventData/BPM.AWAKE.TT41/Acquisition/verPosOk,Dataset,0,"(0,)",No NumPy equivalent for TypeBitfieldID exists
/AwakeEventData/XMPP-STREAK/StreakImage/streakImageWidth,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412350/Acquisition/videoGain,Dataset,1,"(1,)",int32
/AwakeEventData/EMETER04/Acq,Group,3,,
/AwakeEventData/BOVWA.11TCC4.AWAKECAM11/PublishedSettings/gain,Dataset,1,"(1,)",int64
/AwakeEventData/GD_BPM.AWAKE.TRIUMF/GlobalAcquisition,Group,10,,
/AwakeEventData/TT43.BPM.430103/Acquisition/sigma,Dataset,12,"(12,)",int32
/AwakeEventData/SPSBQMSPSv1/Acquisition/bunchPeakStdThr,Dataset,1,"(1,)",float32
/AwakeEventData/TCC4.AWAKE-SCOPE-CTR.CH4/FileRead/fileTime,Dataset,1,"(1,)",int64
/AwakeEventData/TT41.BTV.412426/Acquisition/filterSelect_min,Dataset,1,"(1,)",int32
/AwakeEventData/TT41.BTV.412426/Image/superCycleNb,Dataset,1,"(1,)",int32
/AwakeEventData/SPSBQMSPSv1/Acquisition/tgmNLSQCTL,Dataset,1,(),bool
/AwakeEventData/MPP-VACTRANS-CTR/Acquisition/switchOut,Dataset,1,(),bool
/AwakeEventData/TT41.AWAKE-eBLM-pico2/FileRead/dataValue4,Dataset,785,"(785,)",float64
